model,clustering,label_percentage_change
EfficientNetB0,KMeans,42.78882938
EfficientNetB0,MiniBatchKMeans,42.90359602
EfficientNetB0,KMedoids_PAM,43.7834736
EfficientNetB0,BisectingKMeans,44.03213466
EfficientNetB0,SphericalKMeans,46.4613619
EfficientNetB0,FuzzyCMeans,48.39326702
EfficientNetB0,Agglomerative_Single,48.77582249
EfficientNetB0,Agglomerative_Complete,49.23488906
EfficientNetB0,Agglomerative_Average,54.95409334
EfficientNetB0,Agglomerative_Ward,57.4407039
EfficientNetB0,DBSCAN,57.68936496
EfficientNetB0,OPTICS,58.05279265
EfficientNetB0,HDBSCAN,58.0910482
EfficientNetB0,MeanShift,59.1048202
EfficientNetB0,GMM,63.40856924
EfficientNetB0,BayesianGMM,65.09181331
EfficientNetB0,SpectralClustering,65.18745218
EfficientNetB0,BIRCH,65.62739097
EfficientNetB0,AffinityPropagation,66.06732976
ResNet152,Agglomerative_Single,66.35424637
ResNet152,Agglomerative_Complete,66.75592961
ResNet152,Agglomerative_Average,66.8324407
ResNet152,Agglomerative_Ward,68.74521806
ResNet152,SpectralClustering,68.87911247
MobileNetV3,KMeans,68.87911247
MobileNetV3,MiniBatchKMeans,68.87911247
MobileNetV3,KMedoids_PAM,68.87911247
MobileNetV3,BisectingKMeans,68.87911247
MobileNetV3,SphericalKMeans,68.87911247
MobileNetV3,FuzzyCMeans,68.87911247
MobileNetV3,Agglomerative_Single,68.87911247
MobileNetV3,Agglomerative_Complete,68.91736802
MobileNetV3,Agglomerative_Average,68.93649579
MobileNetV3,Agglomerative_Ward,68.95562357
MobileNetV3,OPTICS,69.24254017
MobileNetV3,HDBSCAN,69.24254017
MobileNetV3,MeanShift,69.37643458
MobileNetV3,BayesianGMM,69.45294568
MobileNetV3,SpectralClustering,69.98852334
MobileNetV3,AffinityPropagation,70.12241775
VGG19,Agglomerative_Single,70.1606733
VGG19,Agglomerative_Complete,70.65799541
VGG19,Agglomerative_Average,71.15531752
VGG19,Agglomerative_Ward,71.15531752
VGG19,SpectralClustering,77.18056618
,,
,,
Xception,KMeans,85.61591431
Xception,MiniBatchKMeans,86.28538638
Xception,KMedoids_PAM,86.93573068
Xception,BisectingKMeans,87.26090283
Xception,SphericalKMeans,87.62433053
Xception,FuzzyCMeans,89.65187452
Xception,Agglomerative_Single,92.67406274
Xception,Agglomerative_Complete,92.67406274
Xception,Agglomerative_Average,93.34353481
Xception,Agglomerative_Ward,93.36266259
Xception,DBSCAN,94.10864575
Xception,OPTICS,99.69395562
Xception,HDBSCAN,99.84697781
Xception,MeanShift,99.84697781
Xception,GMM,99.90436113
Xception,BayesianGMM,99.98087223
Xception,BIRCH,99.98087223
Xception,AffinityPropagation,99.98087223
